case,city,date,summary,fatalities,injured,total_victims,location,age_of_shooter,race,gender,latitude,longitude,type,year
Florida awning manufacturer shooting,"Orlando, Florida",6/5/2017,"John Robert Neumann, Jr., 45, a former employee of manufacturer Fiamma Inc. fatally shot five workers at the company, and then killed himself on the scene. He'd been fired from the company in April. The attack took place a week before the one-year anniversary of the Orlando nightclub massacre.",5,0,5,Workplace,45,White,Male,28.580295,-81.294086,Mass,2017
Rural Ohio nursing home shooting,"Kirkersville, Ohio",5/12/2017,"Thomas Hartless, 43, shot and killed a former girlfriend and another employee of a nursing home, and fatally shot the Kirkersville police chief responding to the scene. Hartless' former girlfriend had recently obtained a court protection order against Hartless. Investigators later found more than 60 firearms in the home of Hartless, who was found dead at the scene of the attack, having turned his gun on himself, according to local authorities.",3,0,3,Workplace,43,White,Male,39.959034,-82.596508,Mass,2017
Fresno downtown shooting,"Fresno, California",4/18/2017,"Kori Ali Muhammad, 39, opened fire along a street in downtown Fresno, killing three people randomly in an alleged hate crime prior to being apprehended by police. Muhammad, who is black, killed three white victims and later described his attack as being racially motivated; he also reportedly yelled 'Allahu Akbar' at the time he was arrested, but authorities indicated they found no links to Islamist terrorism.",3,0,3,Other,39,Black,Male,36.746378,-119.800319,Mass,2017
Fort Lauderdale airport shooting,"Fort Lauderdale, Florida",1/6/2017,"Esteban Santiago, 26, flew from Alaska to Fort Lauderdale, where he opened fire in the baggage claim area of the airport, killing five and wounding six before police aprehended him. (Numerous other people were reportedly injured while fleeing during the panic.)",5,6,11,Airport,26,Latino,Male,26.072751,-80.143382,Mass,2017
Cascade Mall shooting,"Burlington, Washington",9/23/2016,"Arcan Cetin, 20, killed a teen girl and three women in the cosmetics section of a Macy's department store at the Cascade Mall. A man was critically wounded in the shooting and taken to Harborview Medical Center in Seattle, where he died. Cetin was apprehended by police a few hours after the shooting while driving a car near his residence. ",5,0,5,Other,20,Other,Male,48.461367,-122.337918,Mass,2016
Baton Rouge police shooting,"Baton Rouge, Lousiana",7/17/2016,"Gavin Long, 29, a former Marine who served in Iraq, killed three police offers responding to a 911 call, and wounded three others. He was killed in a shoot-out with other officers responding to the scene. Prior to the attack, Long posted prolifically on social media, where he expressed admiration for the cop killer in Dallas 10 days prior.",3,3,6,Spree,29,Black,Male,30.433601,-91.081403,Spree,2016
Dallas police shooting,"Dallas, Texas",7/7/2016,"Micah Xavier Johnson, a 25-year-old Army veteran, targeted police at a peaceful Black Lives Matter protest, killing five officers and injuring nine others as well as two civilians. After a prolonged standoff in a downtown building, law enforcement killed Johnson using a robot-delivered bomb.",5,11,16,Other,25,Black,Male,32.7801052,-96.8000082,Mass,2016
Orlando nightclub massacre,"Orlando, Florida",6/12/2016,"Omar Mateen, 29, attacked the Pulse nighclub in Orlando in the early morning hours of June 12. He was killed by law enforcement who raided the club after a prolonged standoff.",49,53,102,Other,29,Other,Male,28.519718,-81.376777,Mass,2016
Excel Industries mass shooting,"Hesston, Kansas",2/25/2016,"Cedric L. Ford, who worked as a painter at a manufacturing company, shot victims from his car and at his workplace before being killed by police at the scene. Shortly before the rampage he had been served with a restraining order.",3,14,17,Workplace,38,Black,Male,38.135992,-97.425145,Mass,2016
Kalamazoo shooting spree,"Kalamazoo County, Michigan",2/20/2016,"Jason B. Dalton, a driver for Uber, apparently selected his victims randomly as he went on a rampage over several hours in three different locations, including five people he shot in the parking lot of a Cracker Barrel restaurant. He was ""arrested without incident"" at a downtown Kalamazoo bar about six hours after the rampage began.",6,2,8,Other,45,White,Male,42.236689,-85.674795,Mass,2016
San Bernardino mass shooting,"San Bernardino, California",12/2/2015,"Syed Rizwan Farook left a Christmas party held at Inland Regional Center, later returning with Tashfeen Malik and the two opened fire, killing 14 and wounding 21, ten critically. The two were later killed by police as they fled in an SUV.",14,21,35,Workplace,28,Other,Male & Female,34.075961,-117.27789,Mass,2015
Planned Parenthood clinic,"Colorado Springs, Colorado",11/27/2015,"Robert Lewis Dear, 57, shot and killed a police officer and two citizens when he opened fire at a Planned Parenthood health clinic in Colorado Springs, Colorado. Nine others were wounded. Dear was arrested after an hours-long standoff with police.",3,9,12,Workplace,57,White,Male,38.881031,-104.849057,Mass,2015
Colorado Springs shooting rampage,"Colorado Springs, Colorado",10/31/2015,"Noah Harpham, 33, shot three people before dead in Colorado Springs before police killed him in a shootout.",3,0,3,Other,33,White,Male,38.83755,-104.814251,Mass,2015
Umpqua Community College shooting,"Roseburg, Oregon",10/1/2015,26-year-old Chris Harper Mercer opened fire at Umpqua Community College in southwest Oregon. The gunman shot himself to death after being wounded in a shootout with police.,9,9,18,School,26,Other,Male,43.289538,-123.333193,Mass,2015
Chattanooga military recruitment center,"Chattanooga, Tennessee",7/16/2015,"Kuwaiti-born Mohammod Youssuf Abdulazeez, 24, a naturalized US citizen, opened fire at a Naval reserve center, and then drove to a military recruitment office where he shot and killed four Marines and a Navy service member, and wounded a police officer and another military service member. He was then fatally shot in an exchange of gunfire with law enforcement officers responding to the attack.",5,2,7,Military,24,Other,Male,35.047157,-85.311819,Mass,2015
Charleston Church Shooting,"Charleston, South Carolina",6/17/2015,"Dylann Storm Roof, 21, shot and killed 9 people after opening fire at the Emanuel AME Church in Charleston, South Carolina. According to a roommate, he had allegedly been ""planning something like that for six months.""",9,1,10,Religious,21,White,Male,32.788387,-79.933143,Mass,2015
Trestle Trail bridge shooting,"Menasha, Wisconsin",6/11/2015,"Sergio Valencia del Toro, 27, in what officials say was a random act, shot and killed three people including an 11-year-old girl before turning the gun on himself.",3,1,4,Other,27,Latino,Male,44.204124,-88.467541,Mass,2015
Marysville-Pilchuck High School shooting,"Marysville, Washington",10/24/2014,"Jaylen Fryberg, 15, using a .40-caliber Berretta, shot five students at Marysville High School, including two of his cousins and three friends, killing all but one. Fryberg arranged to meet them for lunch in the school cafeteria by text. Fryberg was reportedly well-liked at the school and there was not believed to be any ill-will between him and his victims. He committed suicide at the scene.",5,1,6,School,15,Native American,Male,48.050824,-122.176918,Mass,2014
Isla Vista mass murder,"Santa Barbara, California",5/23/2014,"Elliot Rodger, 22, shot three people to death in the college town of Isla Vista near the University of California, Santa Barbara. He also shot others as he drove around town, and injured others by striking them with is vehicle. He committed suicide by shooting himself in his car as police closed in. Prior to the rampage, Rodger stabbed three people to death at his apartment.",6,13,19,School,22,White,Male,34.436283,-119.8714406,Mass,2014
Fort Hood shooting 2,"Fort Hood, Texas",4/3/2014,"Army Specialist Ivan Lopez, 34, opened fire at the Fort Hood Army Post in Texas, killing three and wounding at least 12 others before shooting himself in the head after engaging with military police. Lt. Gen. Mark A. Milley told reporters that Lopez ""had behavioral health and mental health"" issues.",3,12,15,Military,34,Latino,Male,31.141716,-97.777559,Mass,2014
